"Serial Number","List Year","Date Recorded","Assessed Value","Sale Amount","Sales Ratio"
"200061","2020","11/23/2020","245420.00","340000.00","0.7218"
"200160","2020","07/14/2021","213230.00","420000.00","0.5076"
"200068","2020","12/14/2020","157200.00","278000.00","0.5654"
"20800","2020","08/05/2021","133000.00","260000.00","0.5115"
"20023","2020","10/08/2020","1503740.00","2020000.00","0.7444"
"200829","2020","04/19/2021","243300.00","520000.00","0.4678"
"20026","2020","11/06/2020","222200.00","337500.00","0.6583"
"201512","2020","09/13/2021","144800.00","255000.00","0.5678"
"20000010","2020","10/19/2020","135940.00","215000.00","0.6322"
"200509","2020","05/11/2021","112410.00","160000.00","0.7025"
"200455","2020","08/10/2021","82530.00","158000.00","0.5223"
"201038","2020","07/21/2021","89900.00","182500.00","0.4926"
"200000285","2020","06/09/2021","253480.00","565000.00","0.4486"
"200649","2020","07/30/2021","112910.00","238000.00","0.474411765"
"20102","2020","11/04/2020","8505.00","30000.00","0.2835"
"20000073","2020","01/05/2021","205800.00","334000.00","0.6161"
"200408","2020","03/22/2021","132520.00","310000.00","0.4274"
"200246","2020","03/18/2021","233190.00","350000.00","0.6662"
"200601","2020","02/08/2021","459830.00","575000.00","0.7997"
"2007860","2020","03/31/2021","771890.00","1880000.00","0.4105"
"20526","2020","08/02/2021","564830.00","1195000.00","0.4726"
"200156","2020","11/06/2020","127330.00","243000.00","0.5239"
"200011","2020","10/27/2020","169800.00","205000.00","0.828292683"
"200144","2020","11/30/2020","120700.00","205000.00","0.5887"
"200767","2020","09/14/2021","288400.00","489900.00","0.5886"
"200768","2020","04/05/2021","47800.00","125000.00","0.3824"
"200135","2020","02/12/2021","138950.00","729480.00","0.1904"
"200047","2020","11/12/2020","367800.00","932500.00","0.394423592"
"200022","2020","01/20/2021","198900.00","300000.00","0.663"
"200516","2020","09/22/2021","193930.00","295000.00","0.6573"
"200301","2020","05/21/2021","206570.00","200000.00","1.0328"
"200002","2020","10/02/2020","97370.00","120393.00","0.808767952"
"200000437","2020","09/30/2021","31290.00","485500.00","0.0644"
"201273","2020","09/17/2021","128100.00","250000.00","0.5124"
"200145","2020","03/01/2021","51940.00","90000.00","0.5771"
"200017","2020","12/03/2020","233500.00","366000.00","0.6379"
"201164","2020","06/14/2021","2591470.00","3264000.00","0.7939"
"200053","2020","03/03/2021","205000.00","205000.00","1"
"201066","2020","07/28/2021","109600.00","250000.00","0.4384"
"201007","2020","07/19/2021","68980.00","205000.00","0.336487805"
"200199","2020","03/31/2021","34370.00","92000.00","0.373586957"
"200151","2020","07/06/2021","98010.00","230000.00","0.4261"
"201508","2020","09/13/2021","220500.00","460000.00","0.4793"
"200284","2020","02/02/2021","76300.00","135000.00","0.5651"
"200171","2020","07/09/2021","233290.00","520000.00","0.4486"
"200678","2020","08/30/2021","136940.00","244000.00","0.5612"
"20000111","2020","03/01/2021","92050.00","156000.00","0.59"
"200261","2020","01/21/2021","78190.00","217500.00","0.3594"
"201210","2020","09/02/2021","113800.00","229000.00","0.4969"
"20050","2020","04/20/2021","121580.00","235000.00","0.5173"
"200519","2020","05/13/2021","118690.00","289000.00","0.410692042"
"200068","2020","07/12/2021","873023.00","2470000.00","0.353450607"
"201040","2020","07/28/2021","20029.00","67500.00","0.2967"
"200012","2020","10/02/2020","311000.00","464444.00","0.669617866"
"200065","2020","03/12/2021","147100.00","65000.00","2.263"
"200235","2020","03/22/2021","330800.00","587000.00","0.5635"
"20003","2020","10/02/2020","170300.00","242000.00","0.7037"
"200082","2020","12/14/2020","121940.00","187500.00","0.6503"
"200438","2020","12/31/2020","126400.00","230000.00","0.5495"
"200053","2020","10/23/2020","152430.00","250000.00","0.6097"
"200300","2020","12/15/2020","63910.00","127000.00","0.5032"
"200197","2020","11/19/2020","131950.00","255000.00","0.5174"
"20000227","2020","07/28/2021","108920.00","220000.00","0.495"
"2020238","2020","05/05/2021","139900.00","214900.00","0.651"
"200184","2020","12/29/2020","127970.00","229000.00","0.5588"
"200658","2020","02/23/2021","363580.00","651000.00","0.5584"
"200550","2020","07/21/2021","267680.00","500000.00","0.5353"
"200023","2020","10/21/2020","544100.00","840000.00","0.6477"
"200442","2020","08/31/2021","124670.00","35000.00","3.562"
"20616","2020","04/09/2021","62545.00","220000.00","0.2842"
"200612","2020","07/12/2021","74400.00","136500.00","0.545"
"20066","2020","11/05/2020","459620.00","670000.00","0.686"
"200479","2020","07/28/2021","181120.00","255821.00","0.7079"
"20031","2020","12/23/2020","143900.00","260000.00","0.5534"
"20000","2020","10/03/2020","39700.00","62500.00","0.6352"
"200090","2020","08/18/2021","216550.00","525000.00","0.4124"
"200091","2020","02/16/2021","108260.00","252500.00","0.4287"
"20000099","2020","12/07/2020","333360.00","470000.00","0.7092"
"200709","2020","04/22/2021","83160.00","165000.00","0.504"
"200493","2020","02/16/2021","221620.00","414900.00","0.5341"
"200088","2020","11/17/2020","317450.00","500000.00","0.6349"
"200271","2020","04/14/2021","220920.00","370000.00","0.597"
"20362","2020","06/14/2021","94290.00","160000.00","0.5893"
"201223","2020","08/26/2021","91350.00","220000.00","0.415227273"
"200529","2020","09/20/2021","554800.00","1076600.00","0.5153"
"20002","2020","10/05/2020","272020.00","378000.00","0.7196"
"200413","2020","06/01/2021","270380.00","745626.00","0.3626"
"200087","2020","12/04/2020","132580.00","227700.00","0.5822"
"200032","2020","11/09/2020","228920.00","360000.00","0.6358"
"200025","2020","12/01/2020","249200.00","375000.00","0.6645"
"200705","2020","07/23/2021","224100.00","480000.00","0.4668"
"20000123","2020","01/04/2021","85720.00","110000.00","0.779272727"
"200395","2020","12/21/2020","931630.00","1800000.00","0.5175"
"20114","2020","03/12/2021","251090.00","380500.00","0.6598"
"20405","2020","02/09/2021","62405.00","235000.00","0.2655"
"200681","2020","03/04/2021","112900.00","204712.00","0.551506507"
"20060","2020","02/22/2021","81000.00","180000.00","0.45"
"200870","2020","09/24/2021","81900.00","150000.00","0.546"
"200037","2020","11/04/2020","172530.00","177500.00","0.972"
"200903","2020","06/11/2021","98140.00","214900.00","0.4566"
"20111","2020","02/24/2021","197610.00","337000.00","0.5863"
"201123","2020","08/03/2021","136600.00","445000.00","0.306966292"
"200104","2020","01/11/2021","115000.00","220000.00","0.5227"
"200257","2020","04/23/2021","153300.00","212500.00","0.7214"
"200510","2020","01/19/2021","283430.00","300000.00","0.9447"
"200087","2020","10/19/2020","18200.00","494873.00","0.0367"
"20000029","2020","07/08/2021","126630.00","329000.00","0.3848"
"200115","2020","11/16/2020","41090.00","67000.00","0.613283582"
"200027","2020","10/13/2020","400600.00","615000.00","0.6513"
"201083","2020","08/02/2021","126800.00","284000.00","0.4464"
"20309","2020","01/05/2021","54845.00","214000.00","0.2562"
"20270","2020","01/06/2021","166570.00","320000.00","0.5205"
"200037","2020","01/19/2021","126800.00","232000.00","0.5465"
"2020225","2020","04/16/2021","111500.00","166000.00","0.6716"
"20335","2020","05/21/2021","91210.00","137000.00","0.6657"
"20472","2020","08/30/2021","270480.00","500000.00","0.5409"
"200129","2020","04/13/2021","167800.00","280000.00","0.5992"
